transactTime,sender,subject,messageBody,postNumber
6.6731322e+17,sidelinesnz,Morning trading February 22,@shovel40 O/T I get as per terms of use we cant dictate other posters but the thread is out of hand with low content constant price updates and good lucks... plus 20 posts on MSB un tradable at 1% wondering if some kind of house keeping is appropriate? low content is part of the dont list so seems reasonable suggestion.. trying to follow HC rules here,51212550
6.6731316e+17,Chonseyy,Morning trading February 22,"Originally posted by Imiirasoli: ↑props ?ExpandYeah ya know...a prop...something that holds things up and if it gets removed...you guessed it, things fall down. Like just then there was a huge prop at 6.8 they removed it",51212502
6.6731316e+17,AsxJase,Morning trading February 22,MYQ,51212488
6.6731316e+17,HungHing,Morning trading February 22,IOU 53c double bottom??,51212487
6.673131e+17,hot001,Morning trading February 22,PWN ann,51212452
6.673131e+17,tin_shed_trader,Morning trading February 22,"Originally posted by Oscar09 ↑PSLgetting some interestwell overlooked here,build up begins, Drilling next to NewcrestExpandI dont find it that funnyPSLteehee",51212443
6.6731304e+17,Bomber78,Morning trading February 22,EMD ready to pop - eyes on 25c,51212419
6.6731304e+17,dazatoN,Morning trading February 22,"PVL PVL PVL$3.35mill cash, enterprise value= $7.5mill no debt. 4.2mill market cap.Low shares on issue, can run-New director appointments + substantial holders",51212415
6.6731304e+17,Oscar09,Morning trading February 22,"PSLgetting some interestwell overlooked here,low vol and could bolt +15%build up begins, Drilling next to Newcrest",51212411
6.6731298e+17,tin_shed_trader,Morning trading February 22,PRLAbsolute MUNTeth,51212393
6.6731298e+17,Imiirasoli,Morning trading February 22,Originally posted by Chonseyy: ↑careful of those cheeky props on SHOExpandprops ?,51212381
6.6731292e+17,Chonseyy,Morning trading February 22,careful of those cheeky props on SHO,51212373
6.6731292e+17,AsxJase,Morning trading February 22,"CPT, building again too",51212362
6.6731292e+17,Enthusiastic99,Morning trading February 22,PRL at 0.098 /0.099 Once it crosses closed to 15c IMO,51212353
6.6731286e+17,Enthusiastic99,Morning trading February 22,PRL high volumes good run for today IMO,51212316
6.673128e+17,sintrate,Morning trading February 22,SRN going to put in a nice reversal here,51212305
6.673128e+17,sixtyonefour,Morning trading February 22,"MSB ---> $2.65 wall of worry -----> Break it baby, break it!",51212286
6.6731274e+17,Madpotato,Morning trading February 22,Some walls to overcome from 10c+ but SHUD be wiped over the week...expecting 20c by week endPLR GLTAH,51212265
6.6731274e+17,HungHing,Morning trading February 22,"Originally posted by hazyg: ↑ooh, big buy on PRLExpandVery nice bounce from 8.8c PRL....played along with the pros...soaked up 8.9 to 9.2 and 9.2-9.3",51212233
6.6731322e+17,Steini,Credit Intelligence CI1 - The other side of BNPL (and its profitable),"Wow, definitely not a boring sp action today. Trying to find its new base, big shots fired from both sides. Anything is possible today, close mid 6c or mid 8c.LT direction is up but may need some convincing progress updates to get closer to 10c and to stay there.GLTA",51212555
6.6731322e+17,1sharetrader1,Key activities since late 2020,"I like a shell punt from time to time, but I would be careful of the ramping here.There are 10 million dollar market cap companies around that actually have some assets and decent leases, plenty of 15 to 20 million dollars market cap companies with massive upside potential with huge footprints of ground.This company has nothing but about 1 million dollars.The UUVOA options have a 0.001 cent exercise price, so they should be included in any market cap valuation.2,388,374,811 UUV shares1,104,592,677 UUVOA optionsTotal units 3,492,967,488That is around 3.5 million in market cap per 0.001 of a cent.How can a company with nothing be worth 0.003 of a cent, 10.5 million ?, and higher at 0.004 to 0.005 ?Kinda sad that punters have been sucked in into paying to much for a punt, here.I like a shell punt, but unless I could get in for under a 4 million in market cap fully diluted, it would be better to punt on a small cap company with some actual assets.In saying the above, if management was to pull off one of the best acquisitions of the year, current market cap value may be justified, but currently this is massively over priced, should be trading at 0.001 of a cent in my opinion.",51212552
6.6731322e+17,myleogb,on the money,@princey37 I had a read up on more complex EWs formations and fib relationships over the weekend and to be honest it made my head spin.TSO seems to be in a complex double zig zag down within a bull market correction (or a diagonal?). It seems that its going to test the w4 bottom at around 16c?The daily & weekly MACD suggest correction is still in progress.,51212548
6.6731322e+17,Camshaft1973,IOU dropping like a stone,"Originally posted by smalldude: ↑IOU is dropping like a stone. This 50mil raise will create lots of overhang that wont be digested in a while. Whats your view on this ?I am comparing notes with few traders. Some are swapping IOU to FFG (which has already launched an BNPL service in Asia). 1 IOU to swap to 3 FFG - thats a good trade ? Any insight would be welcomed. I got into IOU at 72c ExpandSmalldude, considering you posted the below image on an FFG forum on the 18th of Feb, right at the time when IOU hits .72, shows how full of crap you are. No-one who posted this image would have bought IOU at 72 cents, unless drunk or stupid, which were you? Put on ignore, blatant cross-promoter for FFG, he doesnt hold IOU, Ill bet my left and my right one..",51212543
6.6731322e+17,sincos,$1 Club,"Originally posted by Bally12345: ↑I didnt expect it to fall onto these levels that quick. Forced me to come back. Now I hope @Verplak85 s top up order never get fill. lolExpandInteresting interface, what trading app are you using?",51212546
6.6731322e+17,gc2016,Ivanhoe capital news,"Originally posted by lekki: ↑Im sort of feeling that the CLQ wagon train is being surrounded by Indians. OK so they are Chinese and looking friendly! So far so good.But CLQ is a perfect fit for the Chinese with its water technology and Ni/Co/Sc mine, so Im feeling its just a matter of time before they make a big move.Now there are excellent opportunities for our associated companies to work closely with Chinas state-owned enterprises in introducing green-development technologies into Chinas major One Belt, One Road international trade and investment initiative, Mr. Friedland added. The future demand for metals will be influenced by increasing demand for clean air and water, especially in urban areas, which requires new-age, strategic metals such as vanadium, scandium, cobalt, nickel, new aluminum alloys and especially copper.GLTAHExpandWhoever invests, as long as we can add some value at mining source...thats most important thing !",51212540
6.6731322e+17,lbruce401,MGC Pharmaceuticals (ASX:MXC) appoints Nicole Godresse as Global Chief Sales Officer,"thats what I was thinking.with all the oversubscribed shares and $$$, why wouldnt MCG sell some to enlarge and improve their production lines?!that way COGS (coat of good sold) will be less and therefore more profitable??more advertising etc...I bought in at 10.5c and will be having diamond hands from now. Ape strong!",51212539
6.6731322e+17,Carlosa,Ann: Ray White Group renews CRM Agreement with PropTech Group,"Originally posted by madamswer: ↑@ZoroM Im not sure it is necessarily fantastic news.More a case of an avoidance of bad news had the opposite happened, i.e., Ray White not renewing. (Especially since the White familys investment vehicle, Songpan Investments, has a near-10% shareholding in PTG.)Then again, that might not mean all that much given Songpan also invested $m in a different CRM prop. tech. company - NurtureCloud - about a year ago. .ExpandYep, spot on. Keeping customers is good, attracting new is fantastic.Although i do note the migration to VaultRE; whilst was always going to happen i assume this will be more beneficial to PTGs bottom line.All in all, a bit of a nothing announcement...Hoping for something more tasty soon!",51212536
6.6731322e+17,jocko,$35 million sales pipeline,IP1s PayVu automated bill payments product is on the XERO marketplace. https://apps.xero.com/au/app/payvuhttps://payvu.com.au/Jocko,51212534
6.6731322e+17,HungHing,IOU dropping like a stone,IOU retest 53c days low again = double bottom....might bounce. watch closely,51212527
6.6731316e+17,Dylan_,IOU dropping like a stone,well buyer side volume stacking up hope things get change soon,51212525
6.6731316e+17,traderforever,Ann: Corporate Update February 2021,Nice to hear this news,51212522
6.6731316e+17,pannaman,EXR Trading 2021,"Originally posted by WatchNact: ↑Sorry, correct, shares on issue. Just a supply and demand thing, those two companies have far fewer shares to buy so the price can run very hard. EXR does not have a massive number of SOI in the grand scheme of things either (About 810 million) and 93% of the shares were held by only 954 people according to the last annual report. It would be nice to know how many, and what percentage of holders hold more than 1 million shares.ExpandI know a few with over 3 million so you could take that down to 950",51212518
6.6731316e+17,Muukentuuken,General Chat,"Originally posted by edithzion: ↑Houston we have a liftoff! Do we have?ExpandRelax friend, this is NVA, not r/WSB. The announcements are luke warm, the gains are steady, the grade keeps increasing but the sellers keep selling. Itll be lucky to end the day on 15.5c and I like the stock.",51212516
6.6731316e+17,hashtagyolo,4DS - Anything but Charting,"Originally posted by Brabant90: ↑Symetrix/CEFE Labs versus 4DS ...................- As manyknows, CEFE Labs is a joint venture company owned by ARM and Symetrix that has been set up to developp a new non-volatil memory called CeRam. Ceram has been invented by Professor Araujo of Colorado Uni, more than ten years ago. - After morethan five years of exchange and research with ARM, Professor Araujo, who is theSymetrix CEO, finaly licenced the technology to ARM and they decided to create CEFE Labs to bring the CeRam technology to commercial level. - Beside being(apparently) a serious competitor to 4DS, the CeRam venture presents manyfeatures interesting to understand the 4DS situation/strategy.- First, where4DS like to stay under the radar, The CEFE Labs creation was announced throughan organised PR campaign. The ARM CEO made his announcement october 2 2020, thesame day lots of papers were published in the technical media. The memoryGuy published a very long and interesting paper on Ceram this same day. A paperlike this will need a few days of research, even for them, but it wasbupblished on october 2.- So, solid PRstrategy and money in place. But the most enlighting differences between 4DSand CEFE Labs is their developpement strategy. o Where 4DSkeeps her cards close to her chest, ARM and Symetrix gave the technology to betested by many Fabs and Labs (among wich, Imec that made a few wafers forSymetrix). So a larger and immediat validation of basic principles.o CEFE Labs (asSymetrix), is a private company. They dont have to make CR and fight/explainthings to pesky shareholders. The parent companies : ARM and Symetrix gavehundreds of patents and millions to CEFE Labs. o CEFE Labs istechnicaly more independant. They can make their own 300 mm wafers at home (orat parent Symetrix Lab). ARM gave them the equipement (wich means also Cleanroom, equipments for ultra pure water and other chemicals storage and disposal=> 10 Millions, 20 millions ?)- The otherbig difference is the targeted market. CEFE Labs will first target niche and embededmarket and 4DS want to reach the mass storage and Data centers market. But CEFELabs also said they will leave it to Fab licensees to advance the technologyfor mass storage… Or even S-RAM. Big difference with 4DS who seems to want to giveFabs a complet and detailled recip to produce stacked layers of cells almostimmedialtly, the only things to add being in-house CMOS and packaging.-Onesimilarity between the two projects is that neither CEFE Labs nor 4DS want tomaufacture their product. They will leave it to large manufacturers.Nowabout the respective technologies- There are morequalified people here to compare the two technologies, but I will try to do it,expecting to be corrected by others.- At firstglance, the CeRam technology seems to be impressive and well advanced. Theswiching mecanism is ultra fast : about 100 femtoseconds or less. So muchbetter than 4DS (in nano seconds). But the real speed will be less than thatbecause it will be limited by the CMOS speed, and CMOS is needed to allow thememory to work (the same logic could works for 4DS, though).- The CeRamtechnology seems more elegant, with bulk change and no filament or oxygen atoms exchange. It seems closer to Optane solution Phase change memory (the applied current will change the sandwiched layer from amorphous to cristalin/ conductive and back to amorphous) except that CeRam solution will be much faster. - The CeRamsolution works at high temperatures (Keeps information up to 400° C)- CeRam isbulk change. All the intermediate part between the top and the bottom of thecell will become conductive. So no filament. Professor Araujo made it clearthat CeRam is completly distinc from what he calls the filamentaryparadigm. - 4DS seems tobe in the same situation as it has no filament, but it is unclear if it couldbe assimilated to bulk change.- It is alsounclear at what level of developpment the CeRam technology is.- The ARM CEOspeaks of 18 month to commercial level, but the CEFE Lab CEO speaks about 18month to prove that the device with increasingly small geometry operateas bulk switches and then verify with commercial manufacturers the reliabilityand repeatability of the device in fab-compatible integration at fabdimensions.- As explainedin the Memory Guy paper there are people that says that in fact CeRam do createa filament. That point doesnt seem to be clarified at the moment : As perEenews analog paper ...nonetheless, with decresing geometry it isdifficult to be absolutely sure of the bulk switching effect. And CEFE Lab CEOsaid Until we have something definitiv like X-Ray confirmation, we keeptouching different part of the elephant and every time it is confirmed an elephant.- +++thememoryguy.comhttps://thememoryguy.com/ceram-moves-front-and-center-on-the-nv-memory-stage/- +++ spectrum.ieee.orghttps://spectrum.ieee.org/nanoclast/semiconductors/memory/arm-spinout-details-correlatedelectron-memory-plans- So, theCeRam solution might not be as advanced as some says. In many ways what ispublished about CeRam looks like the datas 4DS published on the early days(2014)- A paperposted on EET Asia in 2014 (at a time when 4DS was still giving data the media) gave the first comparisons between the twotechnologies. It says that 4DS also claims that the operation of its memory isbased on strongly correlated electron-effect Mott Like transition. The CeRamoperation rely also on the same Mott effect. The difference being that theactive material (between the top and the bottom of the cell) is praseodymiumcalcium metal oxyde or praseodimium doped with calcium. The CeRam activematerial is nikel oxyde doped with carbon (they are testing other materials).- +++eetasia.comhttps://archive.eetasia.com/www.eetasia.com/ART_8800697963_499486_TA_b9a57999.HTMhttps://archive.eetasia.com/www.eetasia.com/STATIC/ARTICLE_IMAGES/201405/EEOL_2014MAY14_STOR_TA_01Fig1.jpgWitchone will win the race- If at firstglance the CeRam solution seems to be well advanced, the fact that they arestill trying to figure out what is happening at smaller geometry (Bulk effect ornot), indicate that still have some work to do.- And there noclear information wether CeRam will stack easily. Because they said that theywill first target niche market an embedded, it seems to indicate that they willleave multy layered mass memory for later or more probably for bigmanufacturers licencees to developp it. - All in all4DS seems to have at least two years advance on CEFE Labs CeRam. But CEFE Labshas other products cooking at the moment and they may also like some secrecy andeception. They may surprise everybody with another discovery or a spectacularprogress. Be sure that this will be announced with a powerfull PR operation.Conclusions-The moststriking difference between the two is the power and money behind CeRam. 4DSlooks poor and vulnerable when compared with CEFE Labs. This underline the factthat 4DS cant do it alone (imo). 4DS must rely on HGST, SanDisk and WDC (Imo, 4DS isalready part of WDC sphere and will be absorbed, one way or another).-Thecommercial strategy to impose the thechnology seems more aggressive on the CEFELabs side. They might not be close to a commercial product, but be sure thatanyone will look first on their direction for futur SCM. -That mightnot be enough to win the race. If WDC comes out with an ultra fast commercialproduct based on 4DS ReRam, it might take some very strong positions on SCMmarket before CeRam emerge on this market.-The finalquestion is : what will be the choice ofWDC for their futur SCM ?-We know thatSanDisk had a ReRam solution developped with HPE before being bought by WDC (2layers, 32 GBT, 24 nma). -We know thatHGST had a PCM solution (phase change, like Optane). We dont know wich one isthe most advanced at the moment, but we know that ReRam is the prefered choiceof WDC because of feasability and commercial reasons (could be deployed inrack-scale design and have an ecosystem support).-The WDCsolution was supposed to be revealed in 2017. theregister.comhttps://www.theregister.com/2016/08/16/wd_says_resistance_is_not_futile/Gutfeelings = 4DS people have a real and serious advance, but now a big dog is running andbarking loudly after them.The jury is still out to says if the dog bites.ExpandAre you Steve?Some one has asked Ron a 4DS question at the bottom of that memory guy article...",51212513
6.6731316e+17,Osicle,Ann: Corporate Update February 2021,About time we got some good news. Happy with this.,51212511
6.6731316e+17,madrich,FFX NPV Calculation - Morila Alone,Originally posted by newbieguy: ↑Lost over 20 percent in two days.. lesson for management.. have a lock in period if you ever do a raise again or just ask the retail investors .. the SP wouldn’t be slaughtered like this everytime.. not a happy holder.. I know this will go up but these constant sell downs are getting annoying now.. Expandvery new apparently,51212508
6.6731316e+17,cipherz0r,EXR Trading 2021,"Originally posted by WatchNact: ↑Sorry, correct, shares on issue. Just a supply and demand thing, those two companies have far fewer shares to buy so the price can run very hard. EXR does not have a massive number of SOI in the grand scheme of things either (About 810 million) and 93% of the shares were held by only 954 people according to the last annual report. It would be nice to know how many, and what percentage of holders hold more than 1 million shares.ExpandGotcha, makes sense. Id love to see the latest breakdown, Id expect movement in all brackets? super interesting. Im finding it very hard not to raise capital elsewhere and dump it into EXR. Have a property settlement and profit coming late March but it may miss the initial boat!",51212507
6.6731316e+17,ASXO,Ann: General Security Agreement,"Originally posted by ASXO: ↑KING WORLD NEWS! Good read, reiterating what has been shared. squeeze on its way? ExpandNO GOLD OR SILVER AVAILABLE another good read.",51212505
6.6731316e+17,gsad1000,Media Updates,"Originally posted by aniesbaswedan: ↑Yep, and if Chinas plan is to not grant the licences, ever?ExpandThen Daigou re-growth will be spectacular. The genie is out of the bottle, Chinese middle class wants IF products that they trust and help their childs development, that market will be satisfied somehow and not by local products. Little old NZ has a very good trading relationship with China and will continue to do so.Pokeno, MVM can be used to produce anything that is not chinese labelled A2 IF. This then allows Dunsandal to produce only A2 certified IF if required, thereby boosting output, (as they have been doing) Nothing else requires the same certification so can come from NZ or AU.",51212500
6.6731316e+17,Kangagirl,Short Term Trading Week Starting: 22 Feb,"Originally posted by Kangagirl: ↑Hey Journeyman, as a rule I sell into overhead supply on the weekly chart. then reevaluate from there, ie: wait for a new demand level.ExpandThat said, its always harder when its a blue sky break out, and there is no history.",51212519
6.6731298e+17,starsky,Short Term Trading Week Starting: 22 Feb,And Boom - just hit my 25% on CXL!,51212377
6.673128e+17,starsky,Short Term Trading Week Starting: 22 Feb,"SLC results tomorrow will make or break my SLC tip.Good announcement today, 1 day ahead of results.",51212309
6.6731274e+17,Kangagirl,Short Term Trading Week Starting: 22 Feb,"Originally posted by journeyman: ↑Just wondering if anyone might be able to share their ideas/methods as to how they identify when to sell into strength. The problem I am having is that many speccies can have fairly low turnover and volatility, but then when they start to run the turnover can increase by many multiples of usual volume, along with the volatility. So when you have huge volume on a run, suddenly you might get another day with even larger volume that you would never expect etc. Speaking from a purely technical perspective here, not wanting to consider peer comparisons or fair value etc.Not sure if the answer might include something to do when sticky/loose share estimates? I realise of course there is no right answer to this question and every stock will be highly unpredictable in that regard, but just interested to know what rules people might follow for those that do sell into strength.ExpandHey Journeyman, as a rule I sell into overhead supply on the weekly chart. then reevaluate from there, ie: wait for a new demand level.",51212251
6.673125e+17,Kangagirl,Short Term Trading Week Starting: 22 Feb,Originally posted by Meebes: ↑HSC - achieved cash flow positive in their most recent reports.MC - 35mJust starting to fly nowExpandWelcome to Hot Copper,51212101
6.6731214e+17,Meebes,Short Term Trading Week Starting: 22 Feb,HSC - achieved cash flow positive in their most recent reports.MC - 35mJust starting to fly now,51211839
6.673116e+17,MajorJohnny,Short Term Trading Week Starting: 22 Feb,NSB Market Cap $22 Million Low SOI and very well funded Safety and Toxicity Report to be completed and to be reported this quarter .Commence Phase 1 next quarter .,51211481
6.6731058e+17,journeyman,Short Term Trading Week Starting: 22 Feb,"Originally posted by journeyman: ↑Just wondering if anyone might be able to share their ideas/methods as to how they identify when to sell into strength. The problem I am having is that many speccies can have fairly low turnover and volatility, but then when they start to run the turnover can increase by many multiples of usual volume, along with the volatility. So when you have huge volume on a run, suddenly you might get another day with even larger volume that you would never expect etc. Speaking from a purely technical perspective here, not wanting to consider peer comparisons or fair value etc.Not sure if the answer might include something to do when sticky/loose share estimates? I realise of course there is no right answer to this question and every stock will be highly unpredictable in that regard, but just interested to know what rules people might follow for those that do sell into strength.Expandaveraging out over a couple of days is possibly just the most manageable solution?",51210609
6.673104e+17,starsky,Short Term Trading Week Starting: 22 Feb,cxl flying today,51210477
6.6730998e+17,journeyman,Short Term Trading Week Starting: 22 Feb,"STTCOMP BLZ FA LONGBlaze International Ltd$4.5m mc$1.8m cash Their Mt Magnet drilling campaign hit sweet FA and sp gapped down, but Mathew Walker (director) bought $120K on-market on the same day @ 2.4c (which is the current sp), along with $5k of options @ $0.005 that expire on 31/3/22 @ 5c strike.Simon Coxhell (director) also bought $17K of heads on-market in early Feb. Simon was MD/CEO of EAR through exploration to the $242m takeover by NST.Has some promising early-stage nickel projects that are now supposedly the focus, but smells to me like something else is brewing in the wings. Not sure Walker would the options above strike in time if he was relying only on their current early-stage exploration assets...Tolgaa Kumova also on the register.",51210147
6.6730956e+17,HomeBrand,Short Term Trading Week Starting: 22 Feb,"TNRat multi year highs.Price breakout but not volume breakout.Looking forward to the volume spike and what it will do for the SP.Dont want to be out of TNR, it is gong to surprise on the upside...hence the price action.Options are lagging if youd like that entry (oh and they are well in the money)",51209842
6.6730944e+17,journeyman,Short Term Trading Week Starting: 22 Feb,"Just wondering if anyone might be able to share their ideas/methods as to how they identify when to sell into strength. The problem I am having is that many speccies can have fairly low turnover and volatility, but then when they start to run the turnover can increase by many multiples of usual volume, along with the volatility. So when you have huge volume on a run, suddenly you might get another day with even larger volume that you would never expect etc. Speaking from a purely technical perspective here, not wanting to consider peer comparisons or fair value etc.Not sure if the answer might include something to do when sticky/loose share estimates? I realise of course there is no right answer to this question and every stock will be highly unpredictable in that regard, but just interested to know what rules people might follow for those that do sell into strength.",51209711
6.673083e+17,Riesling,Short Term Trading Week Starting: 22 Feb,"ONE looks like its bounced off last Fridays low.. Theres some resistance at 9c but not much otherwise, it it gets through that it could be back up and over 10c this week.",51208932
6.6730416e+17,swecare,Short Term Trading Week Starting: 22 Feb,LER One on the WL placed on saturday Breaking out,51205419
6.6730362e+17,journeyman,Short Term Trading Week Starting: 22 Feb,"Originally posted by ammie: ↑@Freehold definitely used opening prices. His rationale was that by using opening prices, everyone could (in theory) enter the stock at the same price as the start price for the tip. Whereas using closing prices, would mean that the tip would need to be entered prior to market close for people to be able to buy at the same price. Quite honestly, I think closing prices would have similar issues to the issues that you see with opening prices.ExpandMy memory is not the best and Ive never been a heavy tipper, so Ive obviously got that closing price entry wrong about Freeholds comp. Not sure I follow the logic on all of that... the only issue I can see if perhaps someone might research a stock after market the same day that they tip and couldnt have possibly entered during the day? In reality, I dont think anyone would generally tip until theyve taken a real entry into a stock anyway, although I guess next day prices separates the paper tippers from those that want to tip their real entries. Shame there isnt a way to enter a tip at your real price by showing your trade confirmation or something... probably would require a lot of manual updating though, so not time feasible.",51204917
6.6730332e+17,Scottsr,Short Term Trading Week Starting: 22 Feb,have a look at SCU,51204619
6.6730284e+17,swecare,Short Term Trading Week Starting: 22 Feb,Morning all worth watch this week WKT SNS,51204180
